# Source: Arcturus5404/miniature-paints (MIT, 2022 Rick Fleuren)
# https://github.com/Arcturus5404/miniature-paints
# Normalized via scripts/build_paint_db.py.
# Hex values are community-derived from vendor swatches; spot-check
# before trusting individual rows. Edit this file directly to correct.
# category=solid is the only category included in the optimizer.
name,brand,line,sku,hex,category,notes
Violet Coven,army_painter,army_painter_fanatic,null,#A999C7,solid,
Vivid Volt,army_painter,army_painter_fanatic,null,#CFDC51,solid,
Warlock Magenta,army_painter,army_painter_fanatic,null,#834D9F,solid,
Warped Yellow,army_painter,army_painter_fanatic,null,#FED548,solid,
Wasteland Clay,army_painter,army_painter_fanatic,null,#A38755,solid,
Weapon Bronze,army_painter,army_painter_fanatic,null,#955610,metallic,
Weird Elixir,army_painter,army_painter_fanatic,null,#E092BF,solid,
Wicked Pink,army_painter,army_painter_fanatic,null,#CE0886,solid,
Wild Green,army_painter,army_painter_fanatic,null,#46B758,solid,
Wilted Rose,army_painter,army_painter_fanatic,null,#ECC5D7,solid,
Wolf Grey,army_painter,army_painter_fanatic,null,#4F78A3,solid,
Woodland Camo,army_painter,army_painter_fanatic,null,#4B6149,solid,
Worn Stone,army_painter,army_painter_fanatic,null,#C4BFB1,solid,
Wyvern Fury,army_painter,army_painter_fanatic,null,#993243,solid,
Brush-On Primer,army_painter,army_painter_fanatic_wash,null,#727475,exclude,
Dark Blue Tone,army_painter,army_painter_fanatic_wash,null,#17202E,wash,
Dark Red Tone,army_painter,army_painter_fanatic_wash,null,#2E131A,wash,
Dark Rust,army_painter,army_painter_fanatic_wash,null,#290F12,wash,
Dark Skin Shade,army_painter,army_painter_fanatic_wash,null,#443638,wash,
Data System Glow,army_painter,army_painter_fanatic_wash,null,#87C866,wash,
Dry Blood,army_painter,army_painter_fanatic_wash,null,#24000E,wash,
Fresh Rust,army_painter,army_painter_fanatic_wash,null,#C25428,wash,
Lens Flare Glow,army_painter,army_painter_fanatic_wash,null,#FFF464,wash,
Magenta Tone,army_painter,army_painter_fanatic_wash,null,#590135,wash,
Military Shade,army_painter,army_painter_fanatic_wash,null,#23270E,wash,
Oil Stains,army_painter,army_painter_fanatic_wash,null,#1D252B,wash,
Oozing Vomit,army_painter,army_painter_fanatic_wash,null,#7B5C1D,wash,
Orange Tone,army_painter,army_painter_fanatic_wash,null,#64300F,wash,
Plasma Coil Glow,army_painter,army_painter_fanatic_wash,null,#5ECDF4,wash,
Power Node Glow,army_painter,army_painter_fanatic_wash,null,#F286B5,wash,
Purple Tone,army_painter,army_painter_fanatic_wash,null,#241C31,wash,
Radiation Glow,army_painter,army_painter_fanatic_wash,null,#FBB375,wash,
